,旅店名稱,鄰近地區,旅客評分,旅客評鑑數目,旅店當天價格
114,綠夜文旅 ,西區,8.8,2540,1374
115,Hotel Z 逢甲 ,逢甲,8.8,2048,1602
116,麻雀巢行旅 ,中區,8.6,3395,1221
117,高苑商務旅館中山店 ,北區,7.9,2252,2298
118,黃埔75旅店 ,西區,8.6,4357,994
119,圖樂文旅 ,逢甲,8.6,6492,1750
120,台中逢甲米樂旅店 ,逢甲,8.7,4242,1400
121,紫禁城MOTEL主題會館 ,南屯區,8.4,1034,2208
122,小西城旅店 ,西區,8.4,3705,1091
123,逢甲隱和旅 ,逢甲,8.9,3273,1270
124,北海大飯店 ,北區,6.7,386,838
125,荷米旅居 ,中區,8.6,2550,1660
126,奇異果快捷旅店 - 站前二館 ,中區,8.4,12136,1037
127,台中世聯商旅 ,北屯區,8.3,1946,1817
128,Unique Hotel - 微笑73旅店 ,中區,8.6,6345,999
129,逢甲好眠 ,逢甲,8.9,1530,1298
130,寄居蟹行旅 ,梧棲區,7.1,606,1553
131,杜拜風情時尚旅館 ,大雅區,8.1,2198,2443
132,逢甲微行商旅 ,逢甲,8.9,1538,1974
133,OURSEA HOTEL,梧棲區,8.3,294,2078
134,涵館汽車旅館 ,南屯區,8.0,1961,1801
135,撲克商旅 ,西區,7.8,1557,3007
136,青樺宿 ,中區,8.9,999,775
137,水悅麗緻會館 ,大里區,8.1,519,1714
138,米卡沙旅店  ,東區,8.3,4757,1243
139,想想家 ,西屯區,9.1,566,765
140,愛萊時尚旅館 ,西區,7.7,1594,876
141,風華嚼旅 ,北區,8.9,2170,1818
142,挪威森林行旅3號館 ,東區,8.8,945,1293
143,臺中沐夏時尚精品旅館 ,西屯區,8.0,2510,2494
144,富帝大飯店 ,南區,6.3,310,1314
145,LIANN Hotel 黎安商旅 ,逢甲,8.1,2708,1617
146,安可旅店 ,中區,7.8,1376,1239
147,台中旭日文旅 ,北區,7.9,2572,999
148,F HOTEL台中麗加園邸 ,西區,8.1,1393,2000
149,華利大旅社 ,中區,9.0,966,1227
150,莿桐花文創微旅 ,中區,8.4,5340,1570
151,歐菲旅店 ,西區,6.6,10,1534
152,承攜行旅黎客逢甲館 ,逢甲,8.4,476,3551
153,木木行館 ,北屯區,8.6,56,2426
154,和樂商務旅館 ,西屯區,8.0,1895,1671
155,台中之星設計旅店 ,逢甲,8.2,1405,2133
156,蘭夏會館 ,南屯區,7.8,1123,1528
157,黑金文旅 ,中區,8.7,2841,1091
158,明通行商旅 ,中區,8.4,136,1231
159,旅巷自在輕旅 ,中區,9.2,2435,1438
160,璽朵精品旅館 ,西屯區,8.2,418,2216
161,羅馬假期汽車旅館 ,大里區,7.4,421,1117
162,新福商務飯店 ,北區,7.9,911,2256
163,喬苑大飯店 ,豐原區,7.5,843,1281
164,西悠飯店台中店 ,北區,7.6,1030,1604
165,潛立方旅館  ,西屯區,7.9,284,1364
166,雲平精品旅館 ,太平區,8.2,1337,1748
167,璽朵精品汽車旅館 ,西屯區,7.9,129,2224
168,逢甲K行旅 ,逢甲,9.1,1972,1714
169,福爾摩沙聯盟草悟道酒店 ,西區,7.1,1323,1747
170,皇星商旅中港館 ,逢甲,7.6,1383,1566
171,新盛橋行旅 ,中區,8.6,3409,1491
172,第五大道汽車旅館 ,西屯區,9.2,214,2147
173,叮噹旅舍 ,逢甲,8.6,1448,1829
174,樂活行館Motel ,南屯區,8.6,402,1714
175,圖格旅 ,中區,8.5,1807,952
176,述夏汽車旅館 ,北屯區,8.3,928,2999
177,法堤商旅 ,北區,8.4,157,1126
178,塔木德酒店公園館 ,北區,7.8,1971,1097
179,歐遊國際連鎖精品旅館 - 台中館 ,南屯區,8.0,802,1455
180,麗心精品汽車旅館 ,北區,7.4,488,1783
181,春天國際旅館  ,南區,7.6,452,2040
182,奇異果快捷旅店 - 中正店 ,中區,7.6,3422,710
183,夏都精品汽車旅館 ,北區,8.1,1436,2089
184,春水漾精緻休閒旅館 ,神岡區,7.3,349,2061
185,背包41青年旅館 - 台中館 ,中區,8.3,2905,1481
186,竹林雅致商務汽車旅館 ,南屯區,8.2,608,1777
187,嵩夏汽車旅館 ,大里區,8.3,944,1714
188,閒雲小居會館 ,中區,8.1,278,891
189,海頓汽車旅館 ,北屯區,7.9,973,2211
190,小鹿斑比,北區,9.0,168,1592
191,麒麟峰溫泉會館 ,北屯區,6.7,204,2705
192,金采G11商旅 ,中區,8.0,894,1496
193,艾菲爾Motel文化旅店 ,梧棲區,8.4,486,2417
194,和風汽車旅館 ,南屯區,7.0,730,1777
195,62巷青年旅舍 ,龍井鄉,8.6,1272,779
196,金滿家大飯店 ,北區,7.4,974,997
197,日出逢甲 ,逢甲,8.3,1417,1629
198,達斯旅店 ,逢甲,8.3,3406,1456
199,台中商旅 八仙山莊 ,谷關,8.3,466,4555
200,安順商務旅館 ,北屯區,7.5,1146,1039
201,西悠飯店台中店 ,北區,7.8,401,1138
202,花沐蘭精品旅館  ,沙鹿區,8.4,523,2147
203,星河商旅 ,中區,7.4,1888,1273
204,東城年代旅舍 ,中區,8.2,671,1441
205,宇春商旅 ,北屯區,8.0,197,1525
206,玉坤田商務旅館 ,梧棲區,8.3,74,3010
207,瑞君商務旅館 ,東區,7.2,1380,1018
208,快樂腳旅棧 ,中區,8.7,2698,1432
209,翰詮大飯店 ,梧棲區,7.3,1312,2279
210,和昕商旅 ,中區,7.7,2168,649
211,麗寶自助民宿 ,豐原區,8.0,762,1836
