,旅店名稱,鄰近地區,旅客評分,旅客評鑑數目,旅店當天價格
153,台北敘美行旅,中正區,8.1,1703,1975
154,香奈爾精品汽車旅館-新莊館 ,新莊區,8.5,2569,1455
155,悠逸商旅 - 台北士林館 ,士林區,8.8,3987,1824
156,漁人碼頭休閒旅館 ,淡水區,8.2,1908,1284
157,長緹海景飯店 ,淡水區,7.8,1054,1177
158,台北西門町意舍 ,西門町,8.6,5277,1710
159,漫映旅舍 ,中山區,8.3,1054,1309
160,西門日記 - 六福館 ,西門町,7.7,8056,950
161,鉑泊客旅店 ,中正區,8.6,4604,1327
162,Chengzhong Stay,中正區,7.7,1780,623
163,雅璞文旅 ,中正區,8.7,5105,537
164,群策翡翠灣溫泉飯店 ,萬里區,8.5,829,2322
165,湯語雙泉館 ,金山區,7.4,985,2900
166,挪威森林頂級Villa汽車旅館 ,板橋區,8.0,884,1849
167,囍閱文旅 ,西門町,8.8,1162,1541
168,葛瑞絲商旅 ,中和區,8.8,3248,1722
169,柯達大飯店台北敦南 ,大安區,8.4,1890,2335
170,米尼旅店 ,中正區,8.9,5019,1203
171,安盛商務旅館 ,新店區,8.7,599,1971
172,情人溫泉民宿 ,烏來區,8.9,208,2563
173,印石時尚旅館 ,文山區,7.9,294,2455
174,大埔硫磺溫泉商旅 ,萬里區,8.5,1378,2315
175,西門日記旅店 ,西門町,8.0,4436,990
176,富裕自由商旅 - 忠孝館 ,大安區,8.1,7135,3273
177,沃客汽車旅館 ,北投區,8.0,3527,1546
178,泡泡飯店 ,大安區,8.3,1051,2938
179,沐蘭精品旅館 - 台北館 ,中山區,7.7,1478,2525
180,烏來水岸 ,烏來區,8.6,447,3999
181,天母貴族商務旅館 ,士林區,7.9,1206,1392
182,茄子青旅 ,松山區,8.4,4674,1733
183,長春商務旅館 ,松山區,7.7,499,1855
184,和昌商旅・淡水館 ,淡水區,7.5,1605,1130
185,國王大飯店 ,中山區,7.7,596,1233
186,詩漫精品旅館 - 站前館 ,中正區,8.3,5950,1266
187,帝景飯店 ,新店區,7.8,2302,1841
188,天 祥 棧 ,中山區,8.2,1501,812
189,金湧泉spa溫泉會館 ,萬里區,7.6,326,2424
190,西門航棧商旅 ,西門町,8.5,2166,1361
191,慕居行旅 ,信義區,8.7,2270,2407
192,大師商旅 ,中正區,7.8,2555,1714
193,正點商務旅店 ,板橋區,7.7,1204,1538
194,士林讚 ,士林區,7.8,1179,1558
195,第一大飯店 ,中山區,7.2,1362,1406
196,悠趣旅店 ,松山區,8.6,4064,2486
197,探索汽車旅館 - 土城館 ,土城區,7.4,1593,2499
198,Wa Hotel,中山區,9.0,637,1505
199,歐遊國際連鎖精品旅館 - 新莊館 ,新莊區,8.3,1844,2271
200,正 旅館 ,中正區,8.4,4018,969
201,沃客商旅成功館 ,三重區,7.9,2750,1061
202,大稻埕花園旅店 ,大同區,8.5,519,3261
203,台北清翼居旅店 ,板橋區,8.2,2358,1445
204,沃客商旅正義館 ,三重區,7.3,4622,1105
205,挪威森林精品SPA汽車旅館 ,新店區,7.9,1044,2060
206,丹迪旅店天津店,中山區,8.8,1406,3750
207,臺北天禾旅店 ,西門町,8.0,7153,999
208,文舺行旅 ,萬華區,8.8,962,1787
209,美麗殿精品旅館 - 中和館 ,中和區,8.2,1150,2250
210,探索汽車旅館 - 南港館 ,南港區,7.0,1653,3249
211,基河青旅 ,士林區,8.4,388,1472
212,台灣青旅膠囊旅店 ,中正區,9.1,4822,1247
213,睡覺盒子青年旅館 ,中正區,7.7,5557,692
214,福爾摩莎101青年旅館 ,信義區,8.5,2719,1180
215,帝苑時尚旅店 ,板橋區,7.9,2698,1218
216,麗都飯店 ,大安區,8.5,1936,2068
217,天方夜譚 ,九份,8.3,629,1558
218,景安精品旅館 ,中和區,8.1,1611,1636
219,真的好晶漾會館 ,新莊區,7.6,777,1302
220,西悠飯店 ,大同區,8.5,4144,699
221,薇閣精品旅館 林森館 ,中山區,8.3,763,3636
222,雅歌會館 ,淡水區,7.9,596,1734
223,葳皇時尚飯店 ,大同區,8.3,3293,632
224,藏愛旅店 ,三重區,7.1,603,2482
225,陽光味宿 ,九份,8.7,1269,2029
226,士林公寓 ,士林區,7.7,1577,1545
227,祕境花園溫泉會館  ,烏來區,7.6,903,2701
228,台北圓環棧 ,中正區,8.4,1311,620
229,台北北門窩泊旅 ,中正區,8.5,4553,951
230,儷閣別墅旅館 ,中和區,8.0,831,1660
231,美代溫泉飯店  ,北投區,8.2,36,3429
232,內江商旅 ,西門町,7.9,2524,1409
233,東門3號膠囊旅店 ,大安區,9.1,3421,693
234,天津大飯店 ,中山區,7.5,1136,857
235,HATAGO+ THE ALLEY,西門町,8.8,803,1232
236,西門好好玩 ,西門町,7.7,11046,937
237,友統大飯店 ,大安區,8.1,710,1169
238,烏來淞呂溫泉會館 ,烏來區,7.6,316,4156
239,中原棧 ,中山區,7.3,292,1093
240,凡登 東棧商務旅店 ,大安區,8.0,2671,917
241,台北天晴青年旅店 ,中正區,9.3,2902,1166
242,仙渡莊旅社 ,北投區,8.1,200,1076
243,安和精品旅館 ,大安區,7.9,138,1922
244,金帥飯店 ,西門町,7.1,3601,937
245,甲山林湯旅 ,中山區,8.5,791,3876
246,愛客發時尚旅館 - 萬年館 ,西門町,7.8,8722,1128
247,泊客青旅,中正區,7.1,1761,778
248,金湧泉溫泉汽車旅館 ,萬里區,8.1,353,2400
249,Sea Cafe九份金瓜石景觀民宿 ,九份,8.8,393,2356
250,挪威森林森森休閒旅館 ,淡水區,7.9,1528,2061
251,探索汽車旅館 - 中和店 ,中和區,7.9,1954,1757
252,雅柏精緻旅館 ,松山區,8.3,648,2564
253,延三居 ,大同區,7.9,300,464
254,柯達大飯店台北一店 ,中山區,8.5,1287,1800
255,睡臺北時尚旅店-南雅夜市館 ,板橋區,7.7,2008,1529
256,品格子旅店北車館 ,中正區,8.1,3663,999
257,愛行旅 ,中山區,8.4,1443,1038
258,吉泰旅店 ,士林區,8.7,320,2338
259,立建旅館 ,松山區,7.1,815,407
260,這一站幸福 ,淡水區,9.1,801,1865
261,首府旅館 ,板橋區,7.9,984,803
262,萬里仙境溫泉會館 ,萬里區,6.7,233,1991
263,皇家飯店 ,中正區,7.6,1286,1465
264,WORK INN 北車館 ,中正區,8.3,4963,972
265,峻美精品商旅 ,中山區,7.8,700,1247
266,九份小町民宿 ,九份,8.7,1080,1974
267,峻美精品商旅 ,中山區,7.8,700,1247
268,九份小町民宿 ,九份,8.7,1080,1974
269,貝爾頌精緻汽車旅館 ,樹林區,7.7,954,1708
270,雀客快捷新北淡水,淡水區,8.2,1466,3717
271,東門旅店 ,中正區,8.1,1537,1561
272,烏來驛站 ,烏來區,7.1,567,2207
273,二十輪旅店西門町館 ,西門町,8.3,3863,1282
274,函舍商務旅店 ,西門町,7.6,1969,1169
275,中和旅舍 ,中和區,8.6,998,1659
276,愛玩客旅店-西門町館 ,西門町,8.4,3755,1130
277,鼎帥溫泉旅館 ,金山區,8.1,448,2615
278,泊居旅店二館 ,中山區,8.1,356,1525
279,紅蘋果商旅 ,永和區,6.5,594,2353
280,Q Motel汽車旅館 ,土城區,8.4,1642,2070
281,柯達大飯店永和店 ,永和區,8.3,872,2336
282,密都飯店 ,中山區,7.4,1228,699
283,府中棧精品商旅 ,板橋區,8.0,1229,1647
284,皇家玫瑰旅館新生館 ,大安區,8.5,684,1385
285,緩慢金瓜石 ,九份,8.8,490,3717
286,華大旅店-南西館 ,大同區,8.3,184,1137
287,伊倫商務旅館 ,中山區,7.2,632,1409
288,富園國際商務飯店 ,西門町,8.6,1585,3624
289,三重江月行館MOTEL ,三重區,8.6,562,2407
290,白沙啾啾 ,石門區,8.5,324,2338
291,友友飯店 ,中山區,7.7,604,2018
292,富裕自由旅店 - 三重正義館 ,三重區,7.7,701,1777
293,清翼居采風館 ,中正區,8.5,4196,1195
294,綠映旅舍 ,三重區,7.7,906,1182
295,私客創旅  ,鶯歌區,8.7,298,3359
296,高雅旅館 ,大安區,6.6,354,1709
297,北海岸愛之船 ,石門區,7.6,420,4662
298,富康精采旅店 ,板橋區,8.1,778,1750
299,水都温泉會館 ,北投區,6.8,1493,3490
300,旅晨行旅 ,中正區,8.1,2645,1079
301,東龍大飯店 ,西門町,7.8,2350,1400
302,五月家國際青年旅舍 ,南港區,8.3,1019,1364
303,馥俐商旅二館 ,板橋區,7.7,800,1554
304,晴悅旅店 ,中山區,8.8,117,1377
305,香城大飯店松山店 ,松山區,7.7,771,1614
306,仲信大湖商旅 ,內湖區,7.9,1095,1732
307,樂玩旅 ,士林區,8.7,564,1558
308,瘋台北青旅 ,西門町,7.8,2951,584
309,紫虹汽車旅館 ,蘆洲區,7.8,309,2494
310,香城豪悅大飯店 ,中山區,7.9,895,1427
311,泉世界溫泉會館 ,烏來區,7.5,222,3848
312,富裕自由旅店 - 林森館 ,中山區,8.1,2207,1455
313,千彩格精品旅店 ,中山區,8.2,1595,979
314,艾蔓精緻旅館 - 土城館 ,土城區,7.7,248,2314
315,warehouse no.5,西門町,7.2,2,1611
316,全家旅店  ,中和區,8.0,836,1873
317,百麗旅店 ,板橋區,7.6,1329,1621
318,台北薇米商旅 ,三重區,7.4,1186,1467
319,億苑旅店 ,板橋區,7.3,1693,693
320,花漾水舞休閒會館 ,新店區,7.3,366,2257
321,甄美精品商旅 ,中山區,7.9,1427,1313
322,探索汽車旅館-永和館 ,永和區,7.6,695,2061
323,日野苑 ,中正區,10.0,4,1509
324,台北戀館 ,中山區,7.7,290,3253
325,龍門溫泉 ,烏來區,9.1,261,2990
326,宏都金殿 ,大安區,8.0,1872,3030
327,悅池精品旅館 ,中和區,7.6,312,2580
328,九份多桑的店民宿 ,九份,8.9,992,1308
329,慕舍酒店 ,中山區,8.7,41,3999
330,東皇渡假旅店 ,北投區,6.9,565,1688
331,客來思樂 ,大安區,7.6,211,1500
332,台北蘆洲集賢商旅 ,蘆洲區,8.0,1218,1337
333,旅城驛鎮 ,中山區,9.6,143,2374
334,北國之春 ,鶯歌區,7.7,142,1801
335,美寓 ,松山區,8.5,2224,1683
336,雀爾喜精品旅館 ,大同區,7.5,2826,1461
337,碩美精品旅店 ,中山區,8.4,1066,1539
338,香奈爾Motel-蘆洲館 ,蘆洲區,8.3,364,1541
339,首都唯客樂飯店 ,中山區,8.5,873,2078
340,嘉年華汽車旅館 ,蘆洲區,7.2,564,1541
341,豪爵大飯店台北館 ,中山區,7.8,639,1732
342,復新文旅 ,中山區,8.0,2087,2182
343,台北旅坊 ,中山區,8.5,223,1466
344,日光˙寓 ,中正區,9.0,342,2597
345,昌吉一號 記憶旅店 ,大同區,7.8,1363,1586
346,沐House ,中正區,9.0,358,2194
347,51溫泉民宿 ,烏來區,7.9,238,2597
348,台北發現青旅 ,中山區,9.0,1609,1169
349,九份景棧 ,九份,8.9,648,1732
350,好得文旅 ,中山區,9.0,989,3058
351,夜光商旅 ,西門町,8.1,1951,1325
352,九份山旅 ,九份,7.8,2132,962
353,錦棧旅店 ,中山區,8.4,1533,2088
354,儷夏商旅 - 西門町西寧館 ,西門町,8.4,1210,1126
355,儷夏商旅 - 西門捷運館 ,西門町,8.5,1512,1299
356,美芙精品旅館 ,中和區,7.4,289,1714
357,文林居 ,士林區,7.5,434,1564
358,探索汽車旅館-延平舘 ,士林區,7.8,1003,2165
359,永遠是晴天民宿 ,瑞芳區,9.0,76,2857
360,嘉榮青年旅舍 ,中正區,7.4,1200,935
361,日暉商務旅館 ,中和區,7.0,727,1707
362,旅居文旅西門驛站 ,西門町,8.5,124,1550
363,采舍精品旅館 ,中山區,8.3,571,1364
364,幸福蘋果旅店 ,西門町,8.5,425,2147
365,西門大可居青年旅館 ,萬華區,7.8,4779,1092
366,士林厝 ,士林區,8.3,977,1557
367,少爺時尚旅館 ,汐止區,7.7,252,1818
368,慶爾喜旅館長沙館 ,西門町,7.2,3391,1057
369,玫瑰山城 ,九份,8.5,411,2454
370,青青花園汽車旅館 ,三峽區,7.1,668,2116
371,情覓精品汽車旅館 ,中山區,8.0,368,2061
372,卡夫人背包客棧 台北車站青年館 ,中正區,8.6,2251,952
373,T.O.Hotel-北車館 ,中正區,8.9,1074,1503
374,紫園旅店 ,大同區,7.9,1011,1108
375,魚旅背包客棧 ,鶯歌區,8.8,374,2511
376,旅莊Urhome ,中山區,8.2,441,1752
377,台北109青旅 ,中正區,9.0,921,1775
378,悅心旅 ,中正區,9.1,70,2165
379,華大旅店 ,信義區,7.3,531,3566
380,尚印2館 ,中山區,8.5,86,2205
381,PlainStay 城西時光,中正區,9.0,767,1299
382,M Bar House,九份,8.9,671,1541
383,橋頭居 ,大同區,8.5,90,1047
384,台北金莎旗艦精品旅館 ,三峽區,7.7,188,2244
385,天使青旅 台北西門 ,中正區,8.0,3730,769
386,Dan hostel,西門町,9.0,1499,1818
387,晶城青年旅館 ,大同區,8.1,4241,520
388,金色年代旅店 ,板橋區,7.8,1640,1455
389,璽愛旅店 ,中正區,7.6,3853,1642
390,璞邸城市膠囊旅店 ,中正區,8.9,5931,914
391,金瓜石101民宿 ,九份,9.2,441,2338
392,溪隱之宿 ,平溪區,8.6,13,1403
393,艾特文旅西門町 ,西門町,8.6,2091,1177
394,喬合大飯店 ,大安區,7.8,1350,1000
395,品格子旅店 - 西門館 ,西門町,7.8,2976,999
396,台北綠蒂飯店 ,中山區,8.0,1628,2060
397,溪隱之宿 ,平溪區,8.5,309,1999
398,皇后旅店2館 ,大同區,8.2,2357,1455
399,宜家居商旅 ,北投區,8.5,346,1974
400,九份閒情民宿 ,九份,8.9,457,2415
401,光斑 九份 ,九份,9.9,6,3377
