,旅店名稱,鄰近地區,旅客評分,旅客評鑑數目,旅店當天價格
153,85假期會館 ,苓雅區,8.1,120,931
154,高雄愛河智選假日酒店 ,鹽埕區,8.5,2127,2125
155,轉角26 Villa ,六龜區,7.7,139,2936
156,悠活農16 ,鼓山區,8.3,1968,1565
157,馨悅旅館 ,前金區,7.7,255,765
158,歐閣精品汽車旅館-簡愛館,鳳山區,8.6,511,1645
159,家家小屋 ,前鎮區,8.2,1109,1038
160,博愛春風時尚旅館  ,左營區,7.2,489,1212
161,六合-八扇門住宿 ,新興區,8.4,475,962
162,三多玫瑰旅店 ,前金區,8.8,2477,1311
163,玖13 ,鼓山區,8.3,265,1287
164,四季汽車旅館 ,鼓山區,7.7,679,2251
165,金山大飯店 ,三民區,6.4,587,2225
166,過境拾貳 ,新興區,9.3,46,1614
167,A.R.T.,新興區,9.1,729,1404
168,三民區的1臥室獨棟住宅 - 20平方公尺/1間專用衛浴 ,鼓山區,9.0,4,693
169,鶴宮寓  ,新興區,9.1,451,3009
170,陽明四季汽車旅館 ,三民區,7.1,277,1455
171,現代大飯店 ,三民區,6.5,1447,605
172,童趣雙人房 ,新興區,9.6,19,1773
173,瑞城別館  ,三民區,7.2,313,696
174,哈瑪星濱線民宿 ,鼓山區,8.8,351,2017
175,歐閣精品汽車旅館-高雄館 ,苓雅區,8.5,424,1792
176,日光花園汽車旅館明誠館 ,鼓山區,7.6,1247,1465
177,御宿Motel 建國館 ,苓雅區,6.9,72,1374
178,月緹電梯主題套房 ,左營區,8.9,263,1999
179,寓旅宿 ,苓雅區,9.2,1105,1209
180,吃吃睡設計宅 ,鼓山區,9.3,584,1879
181,吃吃睡設計宅 ,鼓山區,9.3,584,1913
182,自由宿旅店 ,新興區,7.4,881,1211
183,河堤戀館汽車旅館 ,苓雅區,7.5,1126,1153
184,85涵館 ,苓雅區,8.1,1267,1565
185,打狗戀館 ,小港區,8.4,455,1688
186,左營區的1臥室公寓 - 26平方公尺/1間專用衛浴 ,左營區,7.8,9,1746
187,日央商旅 ,鹽埕區,7.9,1340,2127
188,慕夏汽車旅館 ,苓雅區,7.9,96,2165
189,御宿Motel 武營館 ,鳳山區,7.7,160,1472
190,左營高鐵-旅行舍 ,左營區,9.7,76,1754
191,「看海快樂趣」側海景雙人房 ,苓雅區,8.8,130,770
192,靉嗨文旅,新興區,8.4,276,3826
193,六合宿飯店 ,新興區,7.5,936,1540
194,泓揚精緻商旅 ,新興區,8.2,1218,1740
195,9之1宅 ,左營區,8.3,140,1752
196,三民區的1臥室獨棟住宅 - 8平方公尺/1間專用衛浴 ,三民區,no info,no info,875
197,角窗大海景房 - 近捷運/三多商圈 ,苓雅區,9.1,135,2155
198,美濃德旺山莊 ,美濃區,7.7,70,1385
199,高雄花鄉時尚汽車旅館 - 蓮潭店 ,左營區,7.5,1262,1385
200,眷待期休憩所 ,鳳山區,9.7,154,1489
201,新世代精品商務旅店 ,苓雅區,7.8,598,1337
202,金堡旅店 ,三民區,7.4,1391,1043
203,澄清湖水漾會館 ,鳥松區,7.4,211,1564
204,亞泰旅館  ,楠梓區,7.0,180,1391
205,金鳳凰商務旅館 ,鳳山區,7.5,91,1245
206,22洋房 ,新興區,9.1,6,1393
207,花鄉旅館連鎖-楠梓店  ,楠梓區,7.6,923,1178
208,85嘉年華,苓雅區,8.9,86,4329
209,《小美人魚》85海景雙人房 ,苓雅區,8.6,157,999
210,高雄盧昂 ,鼓山區,7.9,316,863
211,隱君子的撒野,岡山區,9.4,9,2424
212,艾旅汽車旅館,鳳山區,7.6,119,1299
213,秧秧微旅 ,新興區,9.7,301,2854
214,美麗島音樂城商旅 ,新興區,9.0,782,1274
215,美濃百果園民宿 ,美濃區,8.3,390,1347
216,美麗四季 ,前鎮區,7.8,224,2251
217,維也納汽車旅館 ,楠梓區,7.4,558,1212
218,＜溫暖窩窩＞85大樓中庭二人房 ,苓雅區,8.5,75,738
219,棚棚屋 ,苓雅區,9.2,744,1195
220,印水涵觀景汽車旅館 ,湖內區,8.4,304,2061
221,御宿Motel 楠梓館 ,楠梓區,7.6,94,1472
222,艾萊商務旅館 ,小港區,7.2,341,1287
223,「幸運滿屋」85大樓中庭雙人房 ,苓雅區,8.4,106,744
224,85夏夜 ,苓雅區,7.2,14,1374
225,中正湖民宿 ,美濃區,5.2,33,1415
226,《幸福大道》85街景四人房 ,苓雅區,9.1,92,930
227,美麗高雄港85海景四人房 ,苓雅區,8.5,167,1038
228,美麗高雄港85海景四人房 ,苓雅區,8.5,167,1038
229,金建商務飯店 ,小港區,8.4,1255,1039
230,85亞太旅店-亞太投資大樓 ,苓雅區,8.4,1068,1244
231,華水亭 ,鳳山區,7.5,28,3459
232,楠梓區的1臥室獨棟住宅 - 15平方公尺/1間專用衛浴 ,楠梓區,9.6,6,881
233,花鄉旅館連鎖-巨蛋店  ,左營區,7.6,672,1299
234,空中城都會商旅 ,苓雅區,7.7,1127,1039
235,對白四人房 ,新興區,9.4,4,3109
236,左營區的1臥室公寓 - 15平方公尺/1間專用衛浴 ,左營區,8.6,2,799
237,麗馨精品汽車旅館 ,鳥松區,8.1,272,1732
238,國蘭花園Villa會館 ,六龜區,7.7,642,3549
239,楠梓區的1臥室獨棟住宅 - 20平方公尺/1間專用衛浴 ,楠梓區,8.7,26,1113
240,花鄉旅館連鎖-左營店 ,左營區,7.3,410,3021
241,思念人之屋眷村民宿 ,鳳山區,9.1,47,1585
242,左營區的1臥室公寓 - 40平方公尺/1間專用衛浴 ,左營區,8.7,7,2180
243,左營區的2臥室公寓 - 116平方公尺/2間專用衛浴 ,左營區,7.0,9,3872
244,22洋房 ,新興區,8.7,90,1391
245,青春雙人房 ,新興區,9.6,8,1770
246,理歐111-巨蛋瑞豐館 ,左營區,8.6,361,1113
247,靉嗨文旅站前館 ,新興區,8.3,906,3849
248,《陽光地中海》85街景雙人房 ,苓雅區,8.8,145,799
249,米果民宿 ,前鎮區,8.1,458,1299
250,旅港汽車旅館 ,小港區,7.7,281,2256
251,理歐111-鹽埕駁二館 ,鹽埕區,8.9,142,1714
