,旅店名稱,鄰近地區,旅客評分,旅客評鑑數目,旅店當天價格
32,洛碁大飯店南京館 ,中山區,8.8,6189.0,1557
33,文山區的1臥室公寓 - 20平方公尺,文山區,9.4,19.0,874
34,金普頓大安酒店 ,大安區,9.2,1513.0,4183
35,台北老爺大酒店 ,中山區,8.8,2709.0,3030
36,戀人旅居,淡水區,9.6,48.0,2000
37,台北花園大酒店 ,中正區,8.4,6239.0,3333
38,洛碁大飯店南港館 ,南港區,8.6,5410.0,1920
39,西門町公寓套房 - 35平方公尺,西門町,7.4,4.0,2682
40,洛碁大飯店松山館 ,南港區,8.6,3995.0,1748
41,老爺會館台北南西 - 捷運中山站 ,中山區,8.5,4262.0,2203
42,薇閣精品旅館 - 大直旗艦館 ,中山區,8.3,3055.0,2429
43,神旺大飯店 ,大安區,8.1,1454.0,2511
44,富信大飯店 - 台北旗艦館 ,汐止區,8.5,3300.0,3186
45,H&九份山經海景民宿 ,九份,8.2,752.0,2030
46,山樂溫泉 ,北投區,7.5,3797.0,1898
47,新驛旅店台北車站二館 ,中正區,8.8,3996.0,2100
48,台北東旅 ,松山區,8.7,3468.0,2266
49,北投輕行旅 ,北投區,8.4,4801.0,1810
50,大埔硫磺溫泉商旅 ,萬里區,8.5,1378.0,2424
51,洛碁大飯店山水閣 ,中山區,8.1,2260.0,1410
52,新驛旅店台北車站一館  ,中正區,8.6,2659.0,1787
53,樂頤飯店-蘆洲台北 ,蘆洲區,8.8,2740.0,1857
54,西門日記旅店 ,西門町,8.1,4033.0,1778
55,西門日記 - 六福館 ,西門町,7.8,4117.0,983
56,丹迪旅店 - 天母店 ,士林區,8.9,3708.0,2790
57,柯達大飯店 - 台北長安 ,中山區,9.0,1879.0,2244
58,家賓旅店 ,文山區,8.2,1239.0,1195
59,帥客旅店 ,中正區,7.8,3103.0,1589
60,碧潭飯店 ,新店區,7.5,2674.0,1473
61,新驛旅店西門捷運店 ,西門町,8.8,7064.0,1667
62,首都大飯店松山館 ,松山區,8.2,5493.0,2630
63,蒲園飯店 ,松山區,8.7,1688.0,2284
64,丰居旅店-忠孝館 ,大安區,8.4,2258.0,2206
65,艾爾行旅 ,大安區,8.5,1643.0,1885
66,你好咖啡旅店 ,大安區,8.8,1790.0,1784
67,品川商旅 ,板橋區,8.0,4007.0,1570
68,悠逸商旅 - 台北士林館 ,士林區,8.8,3987.0,1922
69,喜瑞飯店 ,中山區,8.7,5132.0,2712
70,成旅晶贊飯店 - 台北蘆洲  ,蘆洲區,8.8,6559.0,1999
71,凡登台北商務旅店 ,大安區,7.7,6267.0,1834
72,陽明山天籟度假酒店 ,金山區,8.0,3626.0,8182
73,林口亞昕福朋喜來登酒店 ,林口區,8.7,371.0,3800
74,華山文旅 ,中正區,8.1,2105.0,1891
75,旅樂序精品旅館站前一館 ,中正區,8.4,3410.0,1823
76,York Hotel ,中正區,8.2,5043.0,1788
77,城市商旅 - 北門館 ,大同區,8.4,2471.0,1730
78,太平洋商旅 ,信義區,8.4,3789.0,2767
79,漁人碼頭休閒旅館 ,淡水區,8.2,1908.0,1714
80,台北北城大飯店 ,中山區,7.9,557.0,1498
81,富裕自由商旅 - 忠孝館 ,大安區,8.1,7135.0,3179
82,台糖台北會館 ,西門町,8.1,2007.0,2656
83,國王大飯店 ,中山區,7.7,596.0,1247
84,美麗殿商旅-板橋館 ,板橋區,8.0,6010.0,1548
85,漫映旅舍 ,中山區,8.5,336.0,1360
86,群策翡翠灣溫泉飯店 ,萬里區,8.5,829.0,3101
87,悠趣旅店 ,松山區,8.6,4064.0,2143
88,台北喜來登大飯店 ,中正區,8.4,1343.0,4000
89,大板根森林溫泉酒店 ,三峽區,8.4,2235.0,7775
90,台北西門町意舍 ,西門町,8.6,5277.0,1350
91,情人溫泉民宿 ,烏來區,8.9,208.0,1993
92,香奈爾精品汽車旅館-新莊館 ,新莊區,8.5,2569.0,1455
93,挪威森林頂級Villa汽車旅館 ,板橋區,8.0,884.0,1841
94,西門航棧商旅 ,西門町,8.5,2166.0,1405
95,囍閱文旅 ,西門町,8.8,1162.0,1593
96,路境行旅 ,中正區,8.7,9224.0,1809
97,米尼旅店 ,中正區,8.9,5019.0,1203
98,泊客青旅,中正區,7.3,844.0,630
99,印石時尚旅館 ,文山區,7.9,293.0,2455
100,帝景飯店 ,新店區,7.8,2302.0,1850
101,文舺行旅 ,萬華區,8.8,962.0,1901
102,Wa Hotel,中山區,9.1,36.0,1029
103,安盛商務旅館 ,新店區,8.7,599.0,1971
104,葛瑞絲商旅 ,中和區,8.8,3248.0,1722
105,思泊客台北101 ,信義區,8.3,1632.0,2963
106,雅璞文旅 ,中正區,8.8,561.0,1395
107,茄子青旅 ,松山區,8.4,4674.0,978
108,方舟旅店 - 長安復興館 ,中山區,8.3,4369.0,2445
109,士林讚 ,士林區,7.8,1179.0,1558
110,正點商務旅店 ,板橋區,7.7,1204.0,1532
111,和昌商旅・淡水館 ,淡水區,7.5,1605.0,1130
112,天母貴族商務旅館 ,士林區,7.9,1206.0,1392
113,長春商務旅館 ,松山區,7.7,499.0,1855
114,詩漫精品旅館 - 站前館 ,中正區,8.3,5950.0,1299
115,歐遊國際連鎖精品旅館 - 新莊館 ,新莊區,8.3,1844.0,2317
116,大安公園旅店 ,中正區,8.3,3863.0,922
117,台灣青旅膠囊旅店 ,中正區,9.2,3051.0,1247
118,葳皇時尚飯店 ,大同區,8.3,3293.0,1699
119,福爾摩莎101青年旅館 ,信義區,8.5,2719.0,1221
120,沃客商旅正義館 ,三重區,7.3,4622.0,1105
121,睡覺盒子青年旅館 ,中正區,7.7,5557.0,585
122,沃客商旅成功館 ,三重區,7.9,2750.0,1160
123,凡登 東棧商務旅店 ,大安區,8.0,2671.0,1980
124,慕居行旅 ,信義區,8.7,2270.0,2494
125,美麗殿精品旅館 - 中和館 ,中和區,8.2,1150.0,2250
