,旅店名稱,鄰近地區,旅客評分,旅客評鑑數目,旅店當天價格,lat,log
215,白沙啾啾,石門區,8.5,324.0,2571,25.28389,121.5209939
216,天津大飯店,中山區,7.5,1136.0,857,25.0510489,121.523416
217,復新文旅,中山區,8.0,2086.0,1833,25.0587858,121.5439493
218,鼎帥溫泉旅館,金山區,8.1,448.0,2615,25.2181293,121.6371624
219,百麗旅店,板橋區,7.6,1329.0,1885,25.0085375,121.4575436
220,挪威森林森森休閒旅館,淡水區,7.9,1528.0,2077,25.1547463,121.4612896
221,吉泰旅店,士林區,8.7,320.0,2510,25.091083,121.5256014
222,新莊幸福讚精品飯店,新莊區,8.5,1663.0,1546,25.051142,121.4610959
223,烏來驛站,烏來區,7.1,566.0,2249,24.864248,121.54817
224,悅池精品旅館,中和區,7.6,312.0,3531,25.0097841,121.4832856
225,台北圓環棧,中正區,8.4,1311.0,818,25.0525583,121.5131134
226,寧夏2號旅店,大同區,8.6,2109.0,1621,25.0543891,121.5146902
227,仲信大湖商旅,內湖區,7.9,1092.0,1775,25.0844616,121.5998564
228,友友飯店,中山區,7.7,604.0,1987,25.0547886,121.5241663
229,香城大飯店松山店,松山區,7.7,771.0,1603,25.049563,121.5742103
230,內江商旅,西門町,7.9,2524.0,1655,25.0415948,121.5058735
231,長春商務旅館,松山區,7.7,499.0,1855,25.0540939,121.5455422
232,日光拾玖,中正區,8.9,2539.0,3176,25.0459161,121.5159819
233,東門旅店,中正區,8.1,1537.0,1464,25.0345085,121.5277939
234,皇家玫瑰旅館新生館,大安區,8.5,684.0,2887,25.0408219,121.5359411
235,幸福圓點,淡水區,9.2,540.0,1732,25.169927,121.44448
236,函舍商務旅店,西門町,7.6,1969.0,1169,25.042837,121.505239
237,玫瑰精品旅館雙城館,中山區,8.5,1042.0,2999,25.0657725,121.523684
238,HATAGO+ THE ALLEY,西門町,8.8,803.0,1232,25.0451781,121.5098615
239,品格子旅店北車館,中正區,8.1,3663.0,999,25.0454867,121.5174126
240,泊居旅店二館,中山區,8.1,356.0,1525,25.0500246,121.5246795
241,美代溫泉飯店,北投區,8.2,36.0,3257,25.1372222,121.5108333
242,璞石麗緻溫泉會館,烏來區,8.0,1466.0,6732,24.8717052,121.5475509
243,台北天晴青年旅店,中正區,9.3,2902.0,2065,25.042667,121.513943
244,私客創旅,鶯歌區,8.7,298.0,2667,24.9509663,121.3476224
245,WORK INN 北車館,中正區,8.3,4963.0,999,25.0454867,121.5174126
246,仙渡莊旅社,北投區,8.1,200.0,1070,25.1236857,121.465831
247,富裕自由旅店 - 三重正義館,三重區,7.7,694.0,1845,25.0618893,121.4976944
248,伊倫商務旅館,中山區,7.2,632.0,1473,25.0527962,121.5341346
249,旅城驛鎮,中山區,9.6,143.0,2407,25.0508523,121.5332418
250,摩莎曼拉精品旅館 - 台北車站館,中正區,8.2,7359.0,909,25.046165,121.5129183
251,甄美精品商旅,中山區,7.9,1427.0,1358,25.054437,121.52609
252,富裕自由旅店 - 林森館,中山區,8.1,2207.0,1339,25.0496738,121.525809
253,五月家國際青年旅舍,南港區,8.3,1019.0,1255,25.0454867,121.5174126
254,好得文旅,中山區,9.0,989.0,3058,25.0523055,121.5284519
255,馥俐商旅二館,板橋區,7.7,800.0,1554,25.0089911,121.4578486
256,首府旅館,板橋區,7.9,984.0,1447,25.007428,121.462391
257,東龍大飯店,西門町,7.8,2350.0,3109,25.0456388,121.5079174
258,密都飯店,中山區,7.4,1228.0,741,25.054569,121.538343
259,雀爾喜精品旅館,大同區,7.5,2826.0,1623,25.053927,121.513958
260,清翼居采風館,中正區,8.5,4196.0,2345,25.0452279,121.5160223
261,千彩格精品旅店,中山區,8.2,1595.0,1227,25.0557593,121.5252552
262,艾蔓精緻旅館 - 土城館,土城區,7.7,248.0,2338,24.9775939,121.4379778
263,友統大飯店,大安區,8.1,710.0,1411,25.0417049,121.5516539
264,九份多桑的店民宿,九份,8.9,992.0,1398,25.1080571,121.8459274
265,客來思樂,大安區,7.6,211.0,1500,25.0193809,121.52993
266,九份多桑的店民宿,九份,8.9,992.0,1308,25.1080571,121.8459274
267,客來思樂,大安區,7.6,211.0,1500,25.0193809,121.52993
268,瘋台北青旅,西門町,7.8,2951.0,599,25.0452279,121.5160223
269,宜家商旅,內湖區,8.4,3138.0,2014,25.074194,121.589654
270,九份山旅,九份,7.8,2129.0,962,25.1092112,121.848791
271,香城豪悅大飯店,中山區,7.9,895.0,1427,25.0508619,121.5344029
272,陽明溫泉渡假村,士林區,8.3,540.0,5005,25.1538972,121.5579029
273,旅晨行旅,中正區,8.1,2645.0,1048,25.0468581,121.5133962
274,台北蘆洲集賢商旅,蘆洲區,8.0,1218.0,1350,25.0832081,121.4805267
275,延三居,大同區,7.9,300.0,464,23.4857501,120.0843006
276,台北薇米商旅,三重區,7.4,1186.0,1467,25.0619151,121.4973823
277,warehouse no.5,西門町,7.2,2.0,1611,25.0411752,121.5076621
278,綠映旅舍,三重區,7.7,906.0,1224,25.064316,121.4971153
279,愛客發時尚旅館 - 萬年館,西門町,7.8,8722.0,2165,25.043488,121.505978
